Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,04/04/2015,Hammarby,Häcken,2,0,H,2,0,H,12,7,6,5,0,0
SE1,04/04/2015,Kalmar,Helsingborg,0,0,D,0,0,D,11,13,7,4,0,0
SE1,05/04/2015,IFK Göteborg,Åtvidaberg,1,0,H,0,0,D,15,9,5,5,0,1
SE1,05/04/2015,Falkenberg,Gefle,0,2,A,0,1,A,21,8,11,4,0,0
SE1,05/04/2015,Djurgården,Elfsborg,1,2,A,0,1,A,12,8,6,4,0,0
SE1,05/04/2015,Norrköping,Örebro,1,1,D,1,0,H,18,14,7,6,0,0
SE1,06/04/2015,AIK,Halmstad,2,1,H,0,0,D,10,11,3,6,0,0
SE1,06/04/2015,GIF Sundsvall,Malmö FF,1,4,A,1,4,A,9,6,5,4,0,1
SE1,08/04/2015,Helsingborg,Falkenberg,0,0,D,0,0,D,19,9,11,4,0,0
SE1,08/04/2015,Gefle,Kalmar,2,0,H,2,0,H,6,16,3,9,0,0
SE1,08/04/2015,Örebro,IFK Göteborg,0,2,A,0,1,A,9,13,5,5,0,0
SE1,08/04/2015,Elfsborg,Hammarby,1,1,D,0,1,A,13,5,8,0,0,0
SE1,09/04/2015,Halmstad,Norrköping,0,3,A,0,1,A,13,14,7,7,0,0
SE1,09/04/2015,Häcken,Djurgården,1,1,D,0,0,D,15,9,7,5,0,0
SE1,09/04/2015,Åtvidaberg,GIF Sundsvall,2,3,A,1,2,A,7,7,5,4,0,0
SE1,09/04/2015,Malmö FF,AIK,0,0,D,0,0,D,13,10,6,4,0,0
SE1,12/04/2015,Halmstad,Helsingborg,1,2,A,0,1,A,11,11,5,4,0,0
SE1,12/04/2015,Falkenberg,Örebro,2,0,H,1,0,H,7,10,4,5,0,0
SE1,12/04/2015,IFK Göteborg,Malmö FF,0,1,A,0,1,A,7,6,2,2,0,0
SE1,12/04/2015,AIK,Gefle,3,1,H,1,0,H,19,5,7,3,0,0
SE1,13/04/2015,GIF Sundsvall,Häcken,1,1,D,0,0,D,7,18,4,11,0,0
SE1,13/04/2015,Norrköping,Elfsborg,0,4,A,0,2,A,18,9,7,6,0,0
SE1,13/04/2015,Kalmar,Åtvidaberg,2,1,H,0,1,A,12,7,6,2,0,0
SE1,17/04/2015,Djurgården,Kalmar,1,0,H,0,0,D,8,10,3,6,0,0
